polarity,tweet,brand_name
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT JPARKNET IGIG STORY Jay Park shares HD pics of himself from his shoot for GQ Korea April 2021 IssueCaption gqkorea guc,Gucci
0.3,Am I the only one who liked James Gucci cardigan MAFS mafsau,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,GUCCI x TNF via 28luvvul82 Buy and sell Designer fashion with the SellingCommunity App,Gucci
0,RT isimplyi2 CHECK THIS OUT easter Gucci Gold KeyRing via Etsy vintagejewelry finegoldjewelry designerj,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
0,RT JPARKNET IGIG STORY Jay Park shares HD pics of himself from his shoot for GQ Korea April 2021 IssueCaption gqkorea guc,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT JPARKNET IGIG STORY Jay Park shares HD pics of himself from his shoot for GQ Korea April 2021 IssueCaption gqkorea guc,Gucci
0,RT JPARKNET IGIG STORY Jay Park shares HD pics of himself from his shoot for GQ Korea April 2021 IssueCaption gqkorea guc,Gucci
0,IGIG STORY Jay Park shares HD pics of himself from his shoot for GQ Korea April 2021 IssueCaption gq,Gucci
0.1,Professionally Restoring Gucci Sneakers HowItsMade Gucci Sneakers,Gucci
0,Virgin Prunes Pagan Lovesong from the Sons Find Devil cd and dvd VirginPrunes GavinFriday Gucci,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from Kristy24319039 TheMelindaC,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0.3,but these digits are soo worth it gucci,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from maria85781 poshmark fashion,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT LiYuchunStudio ChrisLee will attend The Fashion Awards 2019 as the Ambassador of the eventGucci chrislee,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
